suffix,reputation,popularity,level,branches,leaves,cnt,cntPos,cntNeg,isPSL,features
museum.norfolk,0,0,2,0,0,1,0,0,1,"museum.norfolk: museum.norfolk|mus,eum.norfolk"
museum.elburg,0,0,2,0,0,1,0,0,1,"museum.elburg: museum.elb,urg|mus,eum.elb,urg"
museum.contemporaryart,0,0.0149,2,0,0,2,0,0,1,"museum.contemporaryart: museum.contemporary,art|mus,eum.contemporary,art"
museum.ushistory,0,0,2,0,0,1,0,0,1,"museum.ushistory: museum.ushis,tory|mus,eum.ushis,tory"
museum.childrensgarden,0,0,2,0,0,1,0,0,1,"museum.childrensgarden: museum.children,sga,rden|mus,eum.children,sga,rden"
museum.educational,0,0,2,0,0,1,0,0,1,"museum.educational: museum.educational|mus,eum.educational"
museum.roma,-1,0.0015,2,0,0,2,0,1,1,"museum.roma: museum.roma|mus,eum.roma"
museum.annefrank,0,0,2,0,0,1,0,0,1,"museum.annefrank: museum.anne,frank|mus,eum.anne,frank"
museum.judygarland,0,0,2,0,0,1,0,0,1,"museum.judygarland: museum.judy,garland|mus,eum.judy,garland"
museum.salzburg,0,0.0129,2,0,0,2,0,0,1,"museum.salzburg: museum.salz,burg|mus,eum.salz,burg"
museum.stalbans,0,0,2,0,0,1,0,0,1,"museum.stalbans: museum.stal,bans|mus,eum.stal,bans"
museum.airguard,0,0,2,0,0,1,0,0,1,"museum.airguard: museum.airg,uar,d|mus,eum.airg,uar,d"
museum.finearts,0,0.0135,2,0,0,2,0,0,1,"museum.finearts: museum.fine,arts|mus,eum.fine,arts"
museum.canada,0,0.0136,2,0,0,2,0,0,1,"museum.canada: museum.canada|mus,eum.canada"
museum.freiburg,0,0,2,0,0,1,0,0,1,"museum.freiburg: museum.frei,burg|mus,eum.frei,burg"
museum.shell,0,0,2,0,0,1,0,0,1,"museum.shell: museum.shell|mus,eum.shell"
museum.entomology,0,0,2,0,0,1,0,0,1,"museum.entomology: museum.entomology|mus,eum.entomology"
museum.ulm,0,0,2,0,0,1,0,0,1,"museum.ulm: museum.ulm|mus,eum.ulm"
museum.pharmacy,0,0,2,0,0,1,0,0,1,"museum.pharmacy: museum.pharmacy|mus,eum.pharmacy"
museum.western,0,0,2,0,0,1,0,0,1,"museum.western: museum.western|mus,eum.western"
museum.xn--9dbhblg6di,0,0,2,0,0,1,0,0,1,"museum.ירושלים: museum.ירושלים #IDN|mus,eum.ירושלים #IDN"
museum.arteducation,0,0,2,0,0,1,0,0,1,"museum.arteducation: museum.arte,ducat,ion|mus,eum.arte,ducat,ion"
museum.indianmarket,0,0,2,0,0,1,0,0,1,"museum.indianmarket: museum.indian,market|mus,eum.indian,market"
museum.trust,0,0.014,2,0,0,2,0,0,1,"museum.trust: museum.trust|mus,eum.trust"
museum.virtual,-1,0.017,2,0,0,3,0,1,1,"museum.virtual: museum.virtual|mus,eum.virtual"
museum.cheltenham,0,0,2,0,0,1,0,0,1,"museum.cheltenham: museum.chelten,ham|mus,eum.chelten,ham"
museum.missoula,0,0,2,0,0,1,0,0,1,"museum.missoula: museum.misso,ula|mus,eum.misso,ula"
museum.maryland,0,0,2,0,0,1,0,0,1,"museum.maryland: museum.maryland|mus,eum.maryland"
museum.jefferson,0,0,2,0,0,1,0,0,1,"museum.jefferson: museum.jefferson|mus,eum.jefferson"
museum.society,0,0,2,0,0,1,0,0,1,"museum.society: museum.society|mus,eum.society"
museum.denmark,0,0,2,0,0,1,0,0,1,"museum.denmark: museum.denmark|mus,eum.denmark"
museum.starnberg,0,0,2,0,0,1,0,0,1,"museum.starnberg: museum.star,nber,g|mus,eum.star,nber,g"
museum.stuttgart,0,0,2,0,0,1,0,0,1,"museum.stuttgart: museum.stuttgart|mus,eum.stuttgart"
museum.plantation,0,0,2,0,0,1,0,0,1,"museum.plantation: museum.plantation|mus,eum.plantation"
museum.archaeology,0,0.0138,2,0,0,2,0,0,1,"museum.archaeology: museum.archaeology|mus,eum.archaeology"
museum.beeldengeluid,0,0,2,0,0,1,0,0,1,"museum.beeldengeluid: museum.bee,lde,nge,lui,d|mus,eum.bee,lde,nge,lui,d"
museum.tank,0,0,2,0,0,1,0,0,1,"museum.tank: museum.tank|mus,eum.tank"
museum.paleo,0,0,2,0,0,1,0,0,1,"museum.paleo: museum.pale,o|mus,eum.pale,o"
museum.giessen,0,0,2,0,0,1,0,0,1,"museum.giessen: museum.gies,sen|mus,eum.gies,sen"
museum.living,0,0,2,0,0,1,0,0,1,"museum.living: museum.living|mus,eum.living"
museum.scienceandindustry,0,0,2,0,0,1,0,0,1,"museum.scienceandindustry: museum.science,andi,ndus,try|mus,eum.science,andi,ndus,try"
museum.watch-and-clock,0,0,2,0,0,1,0,0,1,"museum.watch-and-clock: museum.watch,-,and,-,clock|mus,eum.watch,-,and,-,clock"
museum.nyny,0,0,2,0,0,1,0,0,1,"museum.nyny: museum.ny,ny|mus,eum.ny,ny"
museum.brunel,0,0.0137,2,0,0,2,0,0,1,"museum.brunel: museum.brunel|mus,eum.brunel"
museum.flanders,0,0,2,0,0,1,0,0,1,"museum.flanders: museum.flanders|mus,eum.flanders"
museum.brandywinevalley,0,0,2,0,0,1,0,0,1,"museum.brandywinevalley: museum.brandy,wine,valley|mus,eum.brandy,wine,valley"
museum.aquarium,0,0.0138,2,0,0,2,0,0,1,"museum.aquarium: museum.aquarium|mus,eum.aquarium"
museum.manchester,0,0,2,0,0,1,0,0,1,"museum.manchester: museum.manchester|mus,eum.manchester"
museum.oceanographique,0,0,2,0,0,1,0,0,1,"museum.oceanographique: museum.oceano,graphiq,ue|mus,eum.oceano,graphiq,ue"
museum.neues,0,0,2,0,0,1,0,0,1,"museum.neues: museum.neues|mus,eum.neues"
museum.environment,0,0.0135,2,0,0,2,0,0,1,"museum.environment: museum.environment|mus,eum.environment"
museum.berkeley,0,0,2,0,0,1,0,0,1,"museum.berkeley: museum.berkeley|mus,eum.berkeley"
museum.saintlouis,0,0,2,0,0,1,0,0,1,"museum.saintlouis: museum.saint,louis|mus,eum.saint,louis"
museum.usgarden,0,0,2,0,0,1,0,0,1,"museum.usgarden: museum.usga,rden|mus,eum.usga,rden"
museum.iron,0,0.0133,2,0,0,2,0,0,1,"museum.iron: museum.iron|mus,eum.iron"
museum.santafe,0,0,2,0,0,1,0,0,1,"museum.santafe: museum.santaf,e|mus,eum.santaf,e"
museum.family,0,0,2,0,0,1,0,0,1,"museum.family: museum.family|mus,eum.family"
museum.asmatart,0,0,2,0,0,1,0,0,1,"museum.asmatart: museum.asma,tart|mus,eum.asma,tart"
museum.education,0,0,2,0,0,1,0,0,1,"museum.education: museum.education|mus,eum.education"
museum.coastaldefence,0,0.0136,2,0,0,2,0,0,1,"museum.coastaldefence: museum.coastal,defence|mus,eum.coastal,defence"
museum.american,0,0,2,0,0,1,0,0,1,"museum.american: museum.american|mus,eum.american"
museum.schokoladen,0,0,2,0,0,1,0,0,1,"museum.schokoladen: museum.scho,kola,den|mus,eum.scho,kola,den"
museum.chesapeakebay,0,0,2,0,0,1,0,0,1,"museum.chesapeakebay: museum.chesapeake,bay|mus,eum.chesapeake,bay"
museum.svizzera,0,0,2,0,0,1,0,0,1,"museum.svizzera: museum.svi,zzer,a|mus,eum.svi,zzer,a"
museum.williamsburg,0,0,2,0,0,1,0,0,1,"museum.williamsburg: museum.williams,burg|mus,eum.williams,burg"
museum.coldwar,0,0,2,0,0,1,0,0,1,"museum.coldwar: museum.cold,war|mus,eum.cold,war"
museum.ski,0,0,2,0,0,1,0,0,1,"museum.ski: museum.ski|mus,eum.ski"
museum.russia,0,0,2,0,0,1,0,0,1,"museum.russia: museum.russia|mus,eum.russia"
museum.donostia,0,0,2,0,0,1,0,0,1,"museum.donostia: museum.dono,stia|mus,eum.dono,stia"
museum.usculture,0,0,2,0,0,1,0,0,1,"museum.usculture: museum.usc,ult,ure|mus,eum.usc,ult,ure"
museum.posts-and-telecommunications,0,0,2,0,0,1,0,0,1,"museum.posts-and-telecommunications: museum.posts,-,and,-,telecommunications|mus,eum.posts,-,and,-,telecommunications"
museum.artsandcrafts,0,0,2,0,0,1,0,0,1,"museum.artsandcrafts: museum.arts,andc,rafts|mus,eum.arts,andc,rafts"
museum.mallorca,0,0,2,0,0,1,0,0,1,"museum.mallorca: museum.mallorca|mus,eum.mallorca"
museum.horology,0,0,2,0,0,1,0,0,1,"museum.horology: museum.horology|mus,eum.horology"
museum.portal,0,0,2,0,0,1,0,0,1,"museum.portal: museum.portal|mus,eum.portal"
museum.costume,0,0,2,0,0,1,0,0,1,"museum.costume: museum.costume|mus,eum.costume"
museum.fortmissoula,0,0,2,0,0,1,0,0,1,"museum.fortmissoula: museum.fort,misso,ula|mus,eum.fort,misso,ula"
museum.topology,0,0,2,0,0,1,0,0,1,"museum.topology: museum.topology|mus,eum.topology"
museum.corporation,0,0,2,0,0,1,0,0,1,"museum.corporation: museum.corporation|mus,eum.corporation"
museum.museumcenter,0,0,2,0,0,1,0,0,1,"museum.museumcenter: museum.museum,center|mus,eum.museum,center"
museum.intelligence,0,0,2,0,0,1,0,0,1,"museum.intelligence: museum.intelligence|mus,eum.intelligence"
